date,symbol,direction,direction_label,summary_reason
2026-02-05,TSLA,1,buy,"Tesla's positive price fluctuation was driven by strong prospects in AI, robotics, FSD, and record energy storage deployments, which outweighed concerns over slowing automotive deliveries."
2026-02-06,TSLA,1,buy,"Tesla's positive price fluctuation was driven by strong prospects in AI, robotics, FSD, and record energy storage deployments, which outweighed concerns over slowing automotive deliveries."
2026-02-09,TSLA,1,buy,"Tesla's positive market fluctuation was driven by strong investor optimism and prospects in AI, robotics, FSD, and record energy storage deployments, which outweighed concerns over slowing automotive deliveries."
2026-02-10,TSLA,1,buy,"Tesla's positive stock price fluctuation was driven by record energy storage deployments and growing investor optimism surrounding future expectations in autonomy, robotaxi, and AI execution, which outweighed concerns over slowing automotive deliveries."
2026-02-11,TSLA,-1,sell,"Tesla experienced a significant negative price movement due to slowing automotive deliveries, declining automotive sales, and lower regulatory credits, despite growth in energy storage and long-term AI/autonomous prospects."
2026-02-12,TSLA,1,buy,"Tesla experienced a positive price fluctuation driven by strong prospects in AI, robotics, FSD, and record energy storage deployments, which outweighed concerns over slowing automotive deliveries."
2026-02-13,TSLA,-1,sell,"Tesla's stock experienced a significant price drop, continuing a tough week caught up in a broader tech sell-off and declining sessions."
2026-02-17,TSLA,1,buy,"Tesla's positive price fluctuation was driven by strong prospects in AI, robotics, FSD, and record energy storage deployments, which outweighed concerns over slowing automotive deliveries."
2026-02-18,TSLA,1,buy,"Tesla's positive price movement was driven by strong growth prospects in AI, robotics, Full Self-Driving (FSD), and record energy storage deployments, which successfully outweighed concerns over slowing automotive deliveries and general tech selloffs."
2026-02-19,TSLA,1,buy,"Tesla's positive price fluctuation was driven by strong growth prospects in AI, robotics, Full Self-Driving (FSD), and energy storage deployments, which outweighed concerns over slowing automotive deliveries and general tech selloffs."
2026-02-20,TSLA,-1,sell,"Tesla's stock experienced a significant price decline despite bullish coverage and AI growth potential, influenced by ongoing valuation risks, conservative growth updates, and broader market challenges."
2026-02-23,TSLA,1,buy,"Tesla's positive price fluctuation was driven by strong growth prospects in AI, robotics, Full Self-Driving (FSD), and energy storage deployments, which outweighed concerns over slowing automotive deliveries."
